,x,y,u,v,p
0,0.04900000000000001,-0.05000000000000001,-2.0116484365288626e-12,-1.3871249243242187e-12,-2.0116484365288626e-12
1,0.05000000000000001,-0.05000000000000001,-2.011648434899873e-12,-1.3871249235786738e-12,-2.011648434899873e-12
2,0.05000000000000001,-0.04900000000000001,-2.0116484343764547e-12,-1.3871249237323662e-12,-2.0116484343764547e-12
3,0.04900000000000001,-0.04900000000000001,1.0141014882039094e-05,1.0140386007659116e-05,1.0141014882039094e-05
4,0.04800000000000001,-0.05000000000000001,-9.912847472021067e-12,-5.3069210140414866e-12,-9.912847472021067e-12
5,0.05000000000000001,-0.04800000000000001,-3.624841982414534e-12,-3.528557515733992e-12,-3.624841982414534e-12
6,0.04800000000000001,-0.04900000000000001,3.3614924860680764e-05,1.511067075126366e-05,3.3614924860680764e-05
7,0.04900000000000001,-0.04800000000000001,1.5137881771210392e-05,3.363179782955771e-05,1.5137881771210392e-05
8,0.04700000000000001,-0.05000000000000001,-9.912847319588871e-12,-5.306921142813339e-12,-9.912847319588871e-12
9,0.05000000000000001,-0.04700000000000001,-3.6248419824031902e-12,-3.52855751436589e-12,-3.6248419824031902e-12
10,0.04700000000000001,-0.04900000000000001,5.885578885763475e-05,1.3832595372572551e-05,5.885578885763475e-05
11,0.04800000000000001,-0.04800000000000001,4.526436539415302e-05,4.5198360022336836e-05,4.526436539415302e-05
12,0.04900000000000001,-0.04700000000000001,1.3953452998568043e-05,5.8997742158944886e-05,1.3953452998568043e-05
13,0.046000000000000006,-0.05000000000000001,-9.912847476313911e-12,-5.30692101345802e-12,-9.912847476313911e-12
14,0.05000000000000001,-0.046000000000000006,-1.191308531099915e-11,-1.8564150283552648e-11,-1.191308531099915e-11
15,0.046000000000000006,-0.04900000000000001,7.726605788492266e-05,8.547668370140639e-06,7.726605788492266e-05
16,0.04700000000000001,-0.04800000000000001,7.312055096113837e-05,3.8167486197871116e-05,7.312055096113837e-05
17,0.04800000000000001,-0.04700000000000001,3.8551776469465294e-05,7.316465314148176e-05,3.8551776469465294e-05
18,0.04900000000000001,-0.046000000000000006,8.842605206471826e-06,7.778044165811274e-05,8.842605206471826e-06
19,0.045000000000000005,-0.05000000000000001,-6.275469005343756e-11,-1.848250940949722e-11,-6.275469005343756e-11
20,0.05000000000000001,-0.04500000000000001,-3.028989857088657e-11,-7.646697340856376e-11,-3.028989857088657e-11
21,0.045000000000000005,-0.04900000000000001,8.302581038625983e-05,8.636756555955701e-07,8.302581038625983e-05
22,0.046000000000000006,-0.04800000000000001,8.670673956934447e-05,1.8152885817825292e-05,8.670673956934447e-05
23,0.04700000000000001,-0.04700000000000001,5.4075265335676695e-05,5.353747934329589e-05,5.4075265335676695e-05
24,0.04800000000000001,-0.046000000000000006,1.9120807970752135e-05,8.723029746095737e-05,1.9120807970752135e-05
25,0.04900000000000001,-0.04500000000000001,1.399653165815395e-06,8.429414345030028e-05,1.399653165815395e-06
26,0.044000000000000004,-0.05000000000000001,-1.095349182956202e-11,1.980503065853287e-12,-1.095349182956202e-11
27,0.05000000000000001,-0.04400000000000001,2.797477589167988e-12,-3.1368229719592078e-12,2.797477589167988e-12
28,0.044000000000000004,-0.04900000000000001,7.265619178389507e-05,-8.171537157417152e-06,7.265619178389507e-05
29,0.045000000000000005,-0.04800000000000001,7.733071645881545e-05,-1.0193316199209342e-05,7.733071645881545e-05
30,0.046000000000000006,-0.04700000000000001,4.683547088845692e-05,9.833815347202474e-06,4.683547088845692e-05
31,0.04700000000000001,-0.046000000000000006,1.1462022300357793e-05,4.654120210739566e-05,1.1462022300357793e-05
32,0.04800000000000001,-0.04500000000000001,-8.433846769462586e-06,7.889496054495547e-05,-8.433846769462586e-06
33,0.04900000000000001,-0.04400000000000001,-7.3590172563509834e-06,7.514895008310758e-05,-7.3590172563509834e-06
34,0.043000000000000003,-0.05000000000000001,-1.0953491826448402e-11,1.980503066546517e-12,-1.0953491826448402e-11
35,0.05000000000000001,-0.04300000000000001,2.7974775886752077e-12,-3.136822972732016e-12,2.7974775886752077e-12
36,0.043000000000000003,-0.04900000000000001,4.420091641423958e-05,-1.7889030456005723e-05,4.420091641423958e-05
37,0.044000000000000004,-0.04800000000000001,3.918668598889381e-05,-4.355635178964545e-05,3.918668598889381e-05
38,0.045000000000000005,-0.04700000000000001,6.897176916831603e-06,-5.0044833811095876e-05,6.897176916831603e-06
39,0.046000000000000006,-0.046000000000000006,-2.8205985472496428e-05,-3.011698636738527e-05,-2.8205985472496428e-05
40,0.04700000000000001,-0.04500000000000001,-4.6960869769800756e-05,7.461238881373699e-06,-4.6960869769800756e-05
